"Demografische Bilanz nach Alter"

"Demografische Komponente";"Staatsangehörigkeit (Kategorie)";"Geschlecht";"Alter";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"55 Jahre";60154;58237;59679;61471;71867;72638;70648;71203;70675;71354;71721;70880;72087;72863;74668;73479;74498;75014;76335;77000;76788;75312;76949;78622;80084;84484;89580;92229;94559;95262;98168;97575;98942;97202;97840;94465;97774;97512;100715;103251;107046;109769;112270;116508;120169;123435;127619;132480
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"56 Jahre";60871;59702;57949;59377;61090;71001;71839;69999;70617;70088;70826;71155;70314;71430;72257;73977;72896;73859;74390;75704;76061;76136;74358;76287;77901;79307;83649;88605;91563;93798;94330;97400;97251;98352;96627;97318;93959;97203;97334;100381;102808;106680;109541;112091;116355;119891;122990;126998
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"57 Jahre";66912;60361;59263;57569;58926;60376;70169;71046;69345;69979;69404;70300;70550;69651;70715;71544;73269;72190;73236;73607;74972;75313;75095;73523;75556;77167;78335;82663;87748;90827;92771;93608;96872;96576;97746;96004;96590;93484;97038;97031;99816;102454;106284;109377;111835;115985;119313;122245
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"58 Jahre";66470;66289;59874;58714;57092;58255;59622;69291;70330;68750;69256;68803;69718;69755;68919;69925;70802;72431;71492;72374;72368;74182;74206;74289;72741;74714;76064;77269;81841;86999;89868;92026;92976;96141;95898;97058;95258;95982;93197;96660;96471;99391;102053;105887;108928;111378;115325;118586
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"59 Jahre";67058;65780;65723;59270;58233;56395;57575;58978;68494;69610;68075;68581;68157;68937;69002;68162;69176;70012;71663;70609;71449;71493;73071;73318;73440;71926;73692;75026;76497;81106;85711;88970;91438;92217;95440;95170;96255;94561;95523;92767;95807;95934;98813;101491;105395;108328;110590;114426
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"60 Jahre";64233;66297;65130;65049;58678;57483;55676;56911;58295;67624;68849;67325;67833;67273;68068;68162;67320;68417;69236;70790;69733;70608;70438;72150;72408;72578;70889;72676;74131;75659;80058;84881;88283;90701;91450;94564;94373;95479;94024;95001;91934;95237;95429;98302;100950;104695;107594;109632
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"61 Jahre";65768;63435;65473;64318;64258;57751;56668;55010;56168;57513;66715;68082;66576;66889;66403;67080;67207;66383;67491;68151;69745;68783;69443;69538;71184;71439;71455;69937;71871;73209;74129;79239;84128;87467;89872;90499;93571;93489;94753;93237;93965;91100;94346;94687;97474;99934;103695;106341
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"62 Jahre";64140;64782;62691;64564;63507;63281;56819;55860;54252;55419;56722;65874;67351;65528;65946;65456;66136;66238;65458;66531;66873;68783;67673;68540;68500;70181;70400;70534;69150;71123;72269;73449;78434;83391;86602;88938;89642;92775;92872;94046;92113;93158;90368;93599;93958;96618;99032;102553
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"63 Jahre";64206;63222;63823;61896;63665;62434;62236;55926;55042;53489;54628;56001;64999;66225;64481;64898;64473;65117;65197;64391;65123;65791;67565;66629;67551;67416;69070;69245;69438;68196;69964;71339;72570;77610;82516;85655;87989;88665;91982;92146;92851;91252;92331;89583;92790;93031;95579;97795
"Bestand am 1. Januar";"Staatsangehörigkeit - Total";"Geschlecht - Total";"64 Jahre";60805;63166;62313;62811;61003;62604;61361;61276;55051;54137;52689;53820;55199;63981;65166;63450;63870;63455;64132;64184;63101;64145;64767;66551;65580;66566;66263;67973;68267;68489;66918;69201;70443;71695;76675;81567;84715;87082;87829;91126;90879;91965;90285;91526;88729;91759;91869;94287
